district_code,district,ac_no,assembly_constituency,roll_year,part_number,polling_station_name,polling_station_location,language,roll_type,official_popup_url
16,Medchal Malkajgiri,45,Quthbullapur,2025,4,"MPPS, Gagillapur Room No.2","MPPS, GAGILLAPUR(.)",Telugu,Supplement3,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=4&roll=TeluguSup1Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,4,"MPPS, Gagillapur Room No.2","MPPS, GAGILLAPUR(.)",Telugu,Supplement4,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=4&roll=TeluguSup2Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,4,"MPPS, Gagillapur Room No.2","MPPS, GAGILLAPUR(.)",English,Final Roll,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=4&roll=EnglishMotherRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,4,"MPPS, Gagillapur Room No.2","MPPS, GAGILLAPUR(.)",English,Supplement2,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=4&roll=EnglishSupRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,4,"MPPS, Gagillapur Room No.2","MPPS, GAGILLAPUR(.)",English,Supplement3,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=4&roll=EnglishSup1Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,4,"MPPS, Gagillapur Room No.2","MPPS, GAGILLAPUR(.)",English,Supplement4,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=4&roll=EnglishSup2Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,5,"Mpps, Dundigal Room No.1",Mpps Dundigal,Telugu,Final Roll,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=5&roll=TeluguMotherRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,5,"Mpps, Dundigal Room No.1",Mpps Dundigal,Telugu,Supplement2,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=5&roll=TeluguSupRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,5,"Mpps, Dundigal Room No.1",Mpps Dundigal,Telugu,Supplement3,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=5&roll=TeluguSup1Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,5,"Mpps, Dundigal Room No.1",Mpps Dundigal,Telugu,Supplement4,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=5&roll=TeluguSup2Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,5,"Mpps, Dundigal Room No.1",Mpps Dundigal,English,Final Roll,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=5&roll=EnglishMotherRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,5,"Mpps, Dundigal Room No.1",Mpps Dundigal,English,Supplement2,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=5&roll=EnglishSupRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,5,"Mpps, Dundigal Room No.1",Mpps Dundigal,English,Supplement3,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=5&roll=EnglishSup1Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,5,"Mpps, Dundigal Room No.1",Mpps Dundigal,English,Supplement4,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=5&roll=EnglishSup2Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,6,"Mpps, Dundigal Room No.2",Mpps Dundigal,Telugu,Final Roll,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=6&roll=TeluguMotherRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,6,"Mpps, Dundigal Room No.2",Mpps Dundigal,Telugu,Supplement2,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=6&roll=TeluguSupRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,6,"Mpps, Dundigal Room No.2",Mpps Dundigal,Telugu,Supplement3,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=6&roll=TeluguSup1Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,6,"Mpps, Dundigal Room No.2",Mpps Dundigal,Telugu,Supplement4,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=6&roll=TeluguSup2Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,6,"Mpps, Dundigal Room No.2",Mpps Dundigal,English,Final Roll,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=6&roll=EnglishMotherRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,6,"Mpps, Dundigal Room No.2",Mpps Dundigal,English,Supplement2,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=6&roll=EnglishSupRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,6,"Mpps, Dundigal Room No.2",Mpps Dundigal,English,Supplement3,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=6&roll=EnglishSup1Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,6,"Mpps, Dundigal Room No.2",Mpps Dundigal,English,Supplement4,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=6&roll=EnglishSup2Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,7,"Zphs, Dundigal Room No.1",Zphs Dundigal,Telugu,Final Roll,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=7&roll=TeluguMotherRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,7,"Zphs, Dundigal Room No.1",Zphs Dundigal,Telugu,Supplement2,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=7&roll=TeluguSupRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,7,"Zphs, Dundigal Room No.1",Zphs Dundigal,Telugu,Supplement3,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=7&roll=TeluguSup1Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,7,"Zphs, Dundigal Room No.1",Zphs Dundigal,Telugu,Supplement4,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=7&roll=TeluguSup2Roll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
16,Medchal Malkajgiri,45,Quthbullapur,2025,7,"Zphs, Dundigal Room No.1",Zphs Dundigal,English,Final Roll,https://ceotserms2.telangana.gov.in/ts_erolls/Popuppage.aspx?partNumber=7&roll=EnglishMotherRoll&districtName=DIST_16&acname=AC_045&acnameeng=A45&acno=45&acnameurdu=045
